GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC05,HC01_EST_VC07,HC01_EST_VC17,HC01_EST_VC19,HC01_EST_VC21,HC01_EST_VC23,HC01_EST_VC25,HC01_EST_VC27,HC01_EST_VC29,HC01_EST_VC31,HC01_EST_VC33,,Bachelors degree or higher
Id,Id2,Geography,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; Population 25 to 34 years,Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Total; Estimate; Population 35 to 44 years,Total; Estimate; Population 35 to 44 years - Bachelor's degree or higher,Total; Estimate; Population 45 to 64 years,Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Total; Estimate; Population 65 years and over,Total; Estimate; Population 65 years and over - Bachelor's degree or higher,,
0400000US01,1,Alabama,6.8,3256766,23.5,615948,25.1,613234,26.2,1281072,24,746512,19,,1388067.546
0400000US02,2,Alaska,7,465149,28,113774,24.2,93083,30.6,188393,28.1,69899,30.4,,
0400000US04,4,Arizona,6.9,4436226,27.6,895519,26,839439,29.5,1630511,27.6,1070757,27.3,,
0400000US05,5,Arkansas,7.4,1968414,21.4,378309,24.1,374567,23.8,750526,21.1,465012,17.7,,
0400000US06,6,California,9.5,25654292,31.7,5722924,33.2,5184418,33.7,9756858,30.9,4990092,29.5,,
0400000US08,8,Colorado,11.2,3584463,38.3,798685,37.7,724786,42.9,1381420,38.5,679572,34,,
0400000US09,9,Connecticut,14.1,2471818,38,438421,40.9,441421,43.5,1036448,38.6,555528,30.4,,
0400000US10,10,Delaware,8.5,640343,30.6,121964,33.5,111621,35.5,252999,30,153759,25.7,,
0400000US11,11,District of Columbia,23.7,463211,55,150211,69.4,92877,62.3,145658,43.5,74465,39.2,,
0400000US12,12,Florida,8.2,14041196,27.3,2512629,27.8,2432609,29.3,5305004,27.3,3790954,25.6,,
0400000US13,13,Georgia,8.2,6576408,29.1,1375152,29.9,1384956,32.3,2567430,29.7,1248870,23.2,,
0400000US15,15,Hawaii,7.5,974586,31,210810,29.2,176248,35.4,359467,32,228061,27.8,,
0400000US16,16,Idaho,5.5,1045193,25,211307,23.5,202500,29,396407,24.9,234979,23.1,,
0400000US17,17,Illinois,12.9,8639076,32.8,1777446,40.2,1681898,37.2,3391878,31.3,1787854,24.2,,
0400000US18,18,Indiana,9,4342916,24.7,843079,29,832070,28.4,1726273,23.9,941494,18.9,,
0400000US19,19,Iowa,9.8,2062734,27.7,390194,35.4,365753,33.8,816159,25.8,490628,20.1,,
0400000US20,20,Kansas,10.3,1881521,31.5,387054,33.7,349971,36.4,726963,31.2,417533,26,,
0400000US21,21,Kentucky,8.4,2967181,22.2,562906,27.1,559455,25.9,1191798,21,653022,17.1,,
0400000US22,22,Louisiana,7.2,3060688,22.9,660444,26.9,578342,25.2,1190732,21,631170,20.3,,
0400000US23,23,Maine,10.9,959407,29.4,152283,32.1,156180,31.8,408380,29.2,242564,26.4,,
0400000US24,24,Maryland,12.7,4062813,38.2,827460,41.6,771141,42.5,1642041,37.7,822171,31.9,,
0400000US25,25,Massachusetts,17.2,4654351,41.2,928715,50.1,839355,46.8,1870704,40.3,1015577,30,,
0400000US26,26,Michigan,9.7,6680525,27.4,1196312,31.5,1189934,32.2,2763212,26.5,1531067,21.8,,
0400000US27,27,Minnesota,12.8,3672583,34.3,750973,39.6,672081,39.8,1471696,33.2,777833,26.2,,
0400000US28,28,Mississippi,5.7,1950710,21.1,383751,23.9,385978,23.5,753668,19.5,427313,19.1,,
0400000US29,29,Missouri,9.2,4076767,27.5,794702,33.3,734449,32.4,1615726,26.6,931890,20.3,,
0400000US30,30,Montana,6.7,695850,29.3,128275,30.9,115039,32.7,282383,29.1,170153,26.1,,
0400000US31,31,Nebraska,10.9,1224701,29.5,254597,36.6,227479,33.9,471948,28.7,270677,20.7,,
0400000US32,32,Nevada,5.4,1919598,23.1,405679,22.3,383515,23.1,729890,23.3,400514,23.6,,
0400000US33,33,New Hampshire,12,931304,35,154599,37,159569,40.3,407689,34.5,209447,30.4,,
0400000US34,34,New Jersey,14.4,6127931,37.4,1147338,42.5,1177266,43,2491202,37.6,1312125,27.5,,
0400000US35,35,New Mexico,5,1373822,26.4,276256,21.9,245560,24.5,533920,28.2,318086,28.8,,
0400000US36,36,New York,15.1,13539612,34.5,2845848,43.4,2507726,39.1,5290358,32.3,2895680,25.7,,
0400000US37,37,North Carolina,9.5,6661937,28.7,1279666,31.6,1320250,33,2600872,28.2,1461149,23.2,,
0400000US38,38,North Dakota,12.9,478850,27.4,107993,32.5,82197,34.2,183981,25.5,104679,20.3,,
0400000US39,39,Ohio,9.5,7857460,26.6,1467370,32.3,1418006,31,3175216,25.9,1796868,19.7,,
0400000US40,40,Oklahoma,7.1,2529885,24.2,527616,25.9,476104,26.2,964597,23.9,561568,21.3,,
0400000US41,41,Oregon,7.6,2746957,30.8,540740,32,521875,35.3,1050116,29.5,634226,28.3,,
0400000US42,42,Pennsylvania,12.1,8858865,29,1635951,37.2,1518192,34.4,3570623,28.1,2134099,20.2,,
0400000US44,44,Rhode Island,12.1,725871,30.4,138101,34.8,126269,34.5,294321,29.5,167180,25.4,,
0400000US45,45,South Carolina,8.4,3260929,26.3,618537,27.5,603149,29.1,1277660,25.8,761583,23.9,,
0400000US46,46,South Dakota,7.1,555488,27.8,111603,30.6,97015,33.1,217516,28.2,129354,20.5,,
0400000US47,47,Tennessee,8.8,4425073,25.3,854494,29.3,846622,28.4,1737144,24.7,986813,20,,
0400000US48,48,Texas,7.8,17087888,27.8,3904730,28.8,3660268,30,6426877,27.6,3096013,24.3,,
0400000US49,49,Utah,6.6,1704734,31.1,436363,29.8,387456,33.4,585936,30.9,294979,30.4,,
0400000US50,50,Vermont,12.7,438279,34.9,72896,38.5,72290,39.1,186438,33.6,106655,31.8,,
0400000US51,51,Virginia,12.1,5623295,36.7,1165651,39.7,1100571,42.6,2210227,36.3,1146846,28.9,,
0400000US53,53,Washington,10.6,4784484,33.1,1012757,33.6,924373,37.1,1854838,32.3,992516,30.4,,
0400000US54,54,West Virginia,6.9,1296350,19.2,219419,24.4,227673,22.2,520203,19.1,329055,13.7,,
0400000US55,55,Wisconsin,10.5,3898162,28.4,732093,33.6,693410,33,1596939,27.6,875720,22,,
0400000US56,56,Wyoming,6.6,388962,26.6,83555,26.7,71119,25.9,153956,27.1,80332,26,,
0400000US72,72,Puerto Rico,7.6,2400677,24.4,430490,30.7,458266,29.4,894910,25.7,617011,14.5,,
